OrderID,CustomerID,OrderDate,ShipDate,TotalAmount,PaymentMethod
320644,960302,2021-05-16,2022-12-29,1841.62,Wire Transfer
991935,464558,2021-07-02,2024-04-02,1389.57,PayPal
906107,959114,2021-11-29,2023-11-22,1562.65,PayPal
966274,292719,2020-07-28,2022-11-28,1720.89,Credit Card
731320,965891,2021-03-13,2022-03-18,1700.34,PayPal
939371,158941,2023-11-27,2024-02-08,843.56,Credit Card
635973,691137,2019-08-21,2020-05-16,272.05,Wire Transfer
750308,481521,2022-03-29,2023-08-28,406.0,Wire Transfer
434614,239422,2020-10-07,2022-01-15,444.01,PayPal
927380,159434,2021-08-02,2022-12-23,1874.77,Credit Card
358953,127376,2022-06-10,2023-06-29,379.07,Credit Card
672708,352710,2020-05-06,2022-04-16,705.27,PayPal
149458,405004,2022-07-14,2022-11-24,1479.41,Wire Transfer
552940,209508,2021-02-10,2021-02-11,1744.42,PayPal
821604,424836,2021-09-30,2022-05-02,304.36,Credit Card
260881,383402,2022-03-07,2024-01-06,1463.26,Credit Card
863226,942344,2020-02-20,2022-07-19,962.8,PayPal
172601,970326,2022-12-16,2024-06-17,1672.1,Wire Transfer
604935,112688,2024-01-29,2024-05-21,45.04,PayPal
598538,448285,2021-09-15,2022-03-11,1240.05,PayPal
621132,945840,2021-01-20,2021-08-24,357.57,Credit Card
405687,958454,2022-04-05,2022-12-31,1041.47,Credit Card
816939,518056,2021-08-16,2023-01-11,968.92,PayPal
131006,779443,2020-11-29,2022-01-15,989.79,Credit Card
916348,190735,2024-04-15,2024-05-08,170.3,Wire Transfer
983094,834444,2021-04-09,2022-07-03,1529.42,PayPal
737174,166245,2023-05-24,2024-03-11,1320.44,PayPal
441190,529390,2024-08-12,2024-08-25,976.33,Wire Transfer
584521,870330,2020-04-13,2023-10-17,1682.21,Wire Transfer
129300,104929,2024-02-17,2024-03-14,201.55,PayPal
549677,992924,2021-06-25,2022-07-10,1179.17,Credit Card
355865,857767,2021-09-15,2022-03-16,1856.68,Credit Card
187405,454396,2023-10-07,2024-03-22,1482.68,Credit Card
656689,616776,2022-05-19,2022-08-04,195.42,PayPal
706708,783340,2021-02-20,2021-07-30,87.41,Credit Card
913745,831238,2022-06-16,2023-09-11,1381.85,Credit Card
506415,701858,2022-04-13,2023-10-06,54.59,PayPal
327175,428942,2022-07-20,2023-12-15,614.91,PayPal
589295,539581,2021-10-18,2024-06-04,701.56,PayPal
334994,140961,2023-05-08,2024-08-17,1635.95,PayPal
497408,200862,2023-09-13,2023-10-18,287.69,Credit Card
707894,188620,2023-04-22,2023-06-17,1524.29,PayPal
241029,308089,2022-04-09,2022-12-06,1151.92,Credit Card
405981,417832,2022-11-28,2024-08-10,1951.11,PayPal
144784,271797,2021-07-24,2024-01-15,1450.23,PayPal
107249,740485,2024-08-08,2024-09-02,358.9,PayPal
818612,600746,2020-03-13,2021-09-19,422.5,PayPal
562053,455196,2020-05-21,2022-01-31,1995.0,Credit Card
992481,380986,2022-08-29,2023-11-17,70.93,PayPal
642823,316793,2024-07-25,2024-07-31,278.64,PayPal
703903,532345,2022-12-29,2023-07-20,1910.93,PayPal
601886,750693,2024-07-15,2024-07-28,1147.29,PayPal
630223,201808,2021-02-10,2022-10-15,1084.04,Wire Transfer
947521,784178,2020-06-28,2022-03-18,1995.87,Credit Card
918873,199539,2021-10-20,2024-09-11,254.68,Wire Transfer
181660,518238,2023-06-17,2023-11-01,445.07,Credit Card
942759,490454,2023-11-18,2024-03-05,963.36,Credit Card
780110,194692,2020-10-11,2023-06-03,928.18,PayPal
448043,173825,2024-02-04,2024-08-12,1615.53,Credit Card
814079,831784,2023-04-07,2023-07-26,52.32,Wire Transfer
259168,454895,2020-04-18,2024-02-23,1120.18,PayPal
176175,700254,2021-06-02,2022-11-01,1699.37,PayPal
632197,872341,2020-05-11,2021-02-24,1125.79,Credit Card
564804,259949,2020-07-02,2021-04-14,1372.69,PayPal
776326,834386,2021-04-28,2023-08-05,1273.9,Credit Card
630084,539825,2020-07-28,2022-04-15,443.37,PayPal
901425,746355,2022-06-09,2023-08-23,1057.06,Wire Transfer
450152,122661,2022-05-09,2024-08-08,1937.86,Credit Card
223013,348061,2024-02-05,2024-03-06,1699.8,PayPal
771789,393458,2021-01-10,2023-08-06,1206.76,Wire Transfer
666305,218008,2024-01-22,2024-05-01,117.67,PayPal
657968,669580,2019-12-12,2021-04-29,1510.2,Credit Card
642694,784053,2019-09-06,2023-07-30,933.28,Wire Transfer
411574,769314,2023-03-07,2024-04-08,130.3,Credit Card
779243,786107,2024-04-07,2024-09-03,93.06,Wire Transfer
257984,249214,2023-07-07,2024-08-01,520.12,Credit Card
172032,593473,2023-07-29,2023-08-05,1834.43,Credit Card
246479,179628,2023-09-01,2023-10-14,898.66,Wire Transfer
236466,157390,2020-04-08,2024-06-20,1831.55,PayPal
352422,302841,2020-08-24,2023-07-24,1028.2,PayPal
837626,857651,2020-04-30,2024-04-11,251.88,PayPal
838818,946022,2020-06-21,2022-03-11,1605.03,PayPal
763980,945801,2019-11-28,2023-12-11,606.72,Credit Card
874464,592711,2022-04-06,2023-06-22,195.34,PayPal
876341,824997,2021-12-05,2023-02-21,1743.2,Wire Transfer
697084,632605,2024-01-13,2024-04-15,1925.21,Wire Transfer
640587,911690,2023-11-22,2024-08-22,794.03,Wire Transfer
562512,802643,2020-03-01,2024-08-15,1326.88,PayPal
238917,720652,2019-09-22,2024-08-13,798.14,PayPal
787520,662892,2019-12-24,2024-08-23,1871.48,Credit Card
288449,319988,2024-02-08,2024-04-02,361.19,Wire Transfer
726947,424622,2021-07-06,2021-07-06,794.28,Credit Card
754954,510727,2020-03-03,2024-08-26,65.22,Credit Card
952237,745873,2021-05-10,2023-05-22,1092.38,Credit Card
573789,844843,2022-12-07,2023-09-09,1533.84,Wire Transfer
236158,821561,2020-05-14,2021-01-06,1419.98,Wire Transfer
817656,311973,2024-07-12,2024-07-23,244.88,Credit Card
990418,863224,2023-02-12,2023-02-14,383.54,Credit Card
719728,362351,2020-04-14,2021-10-15,1996.55,PayPal
513652,950550,2023-03-22,2023-05-28,122.34,PayPal
533542,476414,2019-11-26,2020-12-18,1086.83,Credit Card
114211,457689,2020-04-28,2021-10-20,1338.77,Wire Transfer
494025,646272,2024-05-19,2024-09-08,755.37,Wire Transfer
804485,917232,2022-01-20,2022-09-17,734.18,Credit Card
786524,847540,2021-07-04,2022-03-05,164.07,Wire Transfer
117280,658478,2020-08-03,2023-01-31,737.44,Wire Transfer
944865,195660,2023-07-15,2024-03-31,531.76,Wire Transfer
887215,225279,2023-06-23,2023-07-21,187.45,Credit Card
182337,729674,2022-12-16,2023-03-02,938.4,Credit Card
608169,154005,2022-02-08,2023-11-07,1511.96,Wire Transfer
155048,286391,2023-09-23,2023-10-01,1462.55,Wire Transfer
529335,442315,2020-04-07,2020-07-22,419.17,PayPal
713417,237112,2019-10-19,2020-08-24,1961.38,Wire Transfer
155014,430465,2020-07-17,2020-09-14,241.87,PayPal
269231,711772,2021-04-20,2021-11-11,239.54,PayPal
698840,870203,2024-06-12,2024-09-08,1227.28,Credit Card
429965,735510,2022-02-06,2022-12-25,554.86,PayPal
824715,886948,2020-02-18,2021-07-04,1225.01,PayPal
732487,934968,2023-09-14,2023-11-19,698.49,Credit Card
375528,421966,2023-03-20,2023-09-19,1536.46,Wire Transfer
494129,712711,2024-04-04,2024-05-23,1218.38,PayPal
698075,463198,2020-08-18,2022-05-17,1179.6,Wire Transfer
322055,375532,2023-08-21,2024-04-30,849.21,Wire Transfer
951516,319223,2023-05-02,2024-04-10,1309.02,Wire Transfer
215047,492794,2021-03-19,2022-09-05,811.51,Wire Transfer
491600,322678,2022-12-01,2023-03-23,902.9,Wire Transfer
665041,675523,2021-11-04,2023-05-27,1499.56,Credit Card
757851,173243,2021-09-09,2024-01-04,531.54,Wire Transfer
797197,753430,2022-12-01,2023-05-24,677.34,PayPal
529717,144805,2023-10-27,2024-06-22,1630.81,Credit Card
800991,353254,2021-08-02,2022-02-03,169.49,PayPal
812347,342179,2022-01-01,2023-08-01,194.83,Wire Transfer
716322,549266,2019-09-12,2024-03-30,727.77,Wire Transfer
943289,557109,2020-07-01,2022-05-05,697.99,PayPal
602731,413561,2020-12-12,2021-05-15,147.62,Wire Transfer
196118,814956,2024-01-12,2024-07-16,1828.48,PayPal
998782,440933,2023-01-28,2023-11-07,861.44,Wire Transfer
315839,999114,2023-04-26,2023-05-05,1897.13,PayPal
710654,976250,2021-08-23,2022-03-24,577.17,PayPal
163386,497616,2019-11-23,2022-03-04,545.66,Wire Transfer
416130,362104,2022-04-11,2023-11-05,771.38,Credit Card
274856,846530,2022-09-16,2024-02-01,869.56,Credit Card
689855,262608,2019-08-20,2022-12-01,698.75,Wire Transfer
892525,337396,2019-09-29,2020-02-05,721.48,PayPal
157485,270720,2022-08-09,2023-12-27,669.44,PayPal
386918,827822,2022-02-07,2023-02-16,807.36,PayPal
732019,592339,2023-07-28,2024-03-12,762.37,Wire Transfer
384329,637385,2020-12-22,2022-10-16,1586.43,Wire Transfer
475131,706819,2021-04-07,2022-03-20,825.71,Credit Card
219434,139804,2023-11-17,2023-12-13,1708.87,Credit Card
636489,292983,2021-04-26,2022-03-20,548.98,Wire Transfer
143421,361468,2021-08-10,2022-09-30,1699.6,PayPal
523518,490492,2024-07-06,2024-08-13,290.82,Credit Card
229642,613691,2022-10-27,2024-03-11,665.06,PayPal
138577,253604,2022-07-31,2023-11-11,263.04,PayPal
108908,979968,2020-08-09,2023-04-30,162.48,Credit Card
735933,104648,2021-07-08,2023-03-16,1660.53,Wire Transfer
113267,148303,2022-08-09,2023-01-05,1983.43,Credit Card
221673,475484,2020-08-27,2020-11-13,1616.98,Wire Transfer
331768,866547,2024-01-02,2024-06-09,903.12,Wire Transfer
869938,497328,2020-08-02,2022-03-29,1545.18,Wire Transfer
589536,997858,2020-01-06,2023-12-21,51.97,Wire Transfer
123718,189605,2021-01-09,2022-02-15,1864.16,PayPal
165343,564623,2024-05-12,2024-07-16,1016.74,Credit Card
884903,315048,2022-09-11,2023-09-10,308.91,Credit Card
653747,841843,2019-10-22,2021-12-21,643.46,Wire Transfer
852363,886981,2019-11-11,2021-03-09,555.45,Credit Card
614544,376419,2021-05-03,2022-07-03,1149.15,PayPal
289138,979216,2022-06-19,2023-05-19,889.45,Credit Card
348905,130694,2021-01-02,2024-03-25,47.72,PayPal
234334,507171,2020-01-17,2022-08-12,1514.96,PayPal
670349,530844,2021-09-22,2023-01-11,862.33,PayPal
108179,331344,2020-02-19,2023-07-07,342.25,Credit Card
757528,603755,2022-11-29,2023-06-16,1289.52,PayPal
351584,420065,2024-07-09,2024-07-20,906.58,Wire Transfer
646174,286353,2024-05-15,2024-08-16,198.8,Wire Transfer
786596,844505,2024-06-06,2024-08-16,752.74,Credit Card
547646,732909,2020-07-07,2021-07-09,1581.77,Wire Transfer
819733,660671,2019-10-04,2019-11-24,666.71,PayPal
706949,327481,2019-11-27,2021-02-25,427.6,PayPal
257487,564446,2021-01-04,2024-09-01,270.09,Credit Card
926704,232545,2020-08-22,2022-10-09,1635.98,Credit Card
976543,327524,2022-10-09,2024-09-03,854.51,PayPal
328683,128189,2023-12-08,2024-03-21,502.2,PayPal
435638,821049,2024-07-25,2024-08-23,1609.76,Wire Transfer
774388,744292,2021-06-21,2024-07-05,1345.18,PayPal
818104,188807,2022-08-13,2024-02-20,525.1,PayPal
978301,307390,2019-12-08,2024-05-06,1537.43,Credit Card
320096,576036,2024-04-08,2024-07-06,298.41,PayPal
493094,943137,2023-12-21,2024-08-29,92.12,Wire Transfer
871742,545679,2020-06-20,2020-09-08,1454.3,PayPal
551300,415366,2021-01-11,2022-04-05,1308.2,PayPal
820525,802387,2020-01-28,2024-06-26,965.56,Credit Card
968129,844487,2019-09-27,2023-08-15,974.2,Wire Transfer
846718,505875,2024-05-01,2024-08-24,754.31,Wire Transfer
272662,784279,2022-12-29,2023-01-28,747.93,Credit Card
294669,397962,2023-10-28,2023-11-27,1638.75,PayPal
532637,373475,2023-12-15,2024-04-27,423.41,Wire Transfer
896275,196212,2022-08-01,2024-04-09,107.58,Wire Transfer
710437,273175,2024-03-30,2024-03-30,112.83,Credit Card
218478,969924,2020-08-18,2021-03-16,593.44,Credit Card
319109,352430,2023-10-15,2024-05-30,742.86,Credit Card
166183,264362,2024-01-17,2024-08-18,118.9,Wire Transfer
836735,378361,2020-07-02,2024-01-26,97.42,PayPal
955812,856784,2022-04-12,2022-04-24,431.62,PayPal
438331,789103,2023-09-05,2024-01-29,40.03,Wire Transfer
593187,808813,2024-01-08,2024-04-19,447.41,PayPal
370617,187695,2019-11-09,2019-12-03,1864.65,Wire Transfer
392928,499485,2021-04-17,2021-11-24,325.84,Credit Card
370420,791853,2023-05-09,2024-06-21,1755.19,Wire Transfer
417263,258958,2020-01-22,2020-08-14,1943.2,PayPal
171287,706261,2021-05-11,2021-08-17,1340.44,PayPal
976135,212366,2022-04-25,2022-11-05,118.7,PayPal
869282,478261,2024-05-07,2024-09-06,1294.22,Credit Card
331594,737423,2020-01-25,2020-12-17,959.99,PayPal
549039,635588,2021-02-20,2023-10-22,1673.94,Wire Transfer
660185,526215,2020-11-12,2022-01-30,919.42,PayPal
423296,729451,2021-02-25,2024-03-31,1200.99,PayPal
778727,216759,2019-08-22,2022-05-02,248.65,Wire Transfer
186817,935538,2023-05-27,2023-08-24,1339.35,Credit Card
299487,707391,2023-12-13,2023-12-23,612.62,Credit Card
359809,666662,2022-04-24,2022-05-27,1284.45,PayPal
602848,168140,2020-11-10,2021-05-22,174.26,PayPal
301703,527539,2021-07-02,2022-05-24,1444.78,Credit Card
266973,525175,2020-05-12,2024-07-10,766.51,Credit Card
843363,285770,2019-09-16,2020-11-18,1938.52,Credit Card
577758,743289,2021-01-12,2023-06-06,334.32,Credit Card
503113,677693,2024-07-30,2024-09-09,1026.26,PayPal
357435,893310,2021-12-17,2023-11-03,309.8,Credit Card
447470,734398,2021-10-10,2024-05-15,1312.59,Credit Card
915630,339584,2020-08-31,2023-03-07,413.8,Wire Transfer
401818,165397,2020-04-08,2022-11-07,844.99,Credit Card
157356,534896,2023-10-09,2024-04-26,1938.48,PayPal
987210,931583,2020-11-18,2024-08-22,279.27,PayPal
553381,167771,2023-11-21,2023-12-25,725.9,PayPal
558762,907777,2020-09-12,2021-03-01,789.51,PayPal
203984,625587,2020-02-15,2021-10-16,1696.34,Credit Card
337872,163153,2020-05-07,2022-11-25,75.49,Wire Transfer
163714,228368,2022-09-01,2023-06-12,1793.43,Wire Transfer
