CampaignID,CampaignName,StartDate,EndDate,Budget,ActualSpend
233745,Networked content-based installation,2023-09-14,2024-06-12,35160.07,19151.43
120467,Multi-layered leadingedge task-force,2023-10-22,2023-12-10,65757.01,52776.36
808494,Networked context-sensitive website,2022-10-20,2023-05-16,69200.35,2393.39
108732,Progressive fault-tolerant utilization,2023-12-23,2023-12-27,42227.55,9669.01
930540,Innovative background strategy,2023-11-09,2023-11-28,50716.38,34441.05
140263,Enhanced intangible model,2023-05-29,2024-08-11,45868.26,40610.12
533252,Robust eco-centric access,2023-10-03,2023-12-11,44212.33,15437.59
891027,Extended directional Graphical User Interface,2023-05-24,2024-03-05,88883.93,88169.05
982012,Monitored methodical emulation,2024-03-09,2024-04-27,68097.72,55725.0
412719,Public-key client-driven secured line,2023-04-16,2023-06-25,86564.75,26105.72
403951,Organic composite attitude,2024-05-26,2024-07-24,97810.33,84566.66
452854,Total hybrid strategy,2024-02-13,2024-05-21,39111.15,38434.25
630022,Adaptive local capacity,2023-03-12,2023-09-03,47151.85,21732.66
376252,Implemented needs-based artificial intelligence,2024-02-22,2024-04-28,94945.68,91697.79
353681,Synergized multi-state conglomeration,2023-11-23,2024-07-13,2275.62,1390.52
865387,Compatible responsive process improvement,2022-09-12,2022-11-28,92323.06,56842.84
665292,Grass-roots grid-enabled leverage,2023-01-10,2024-05-28,19036.56,8686.87
916475,Optional logistical implementation,2023-10-14,2024-05-30,35721.24,34313.31
335501,Inverse methodical algorithm,2022-12-20,2022-12-30,31652.65,22065.67
617198,Adaptive grid-enabled toolset,2023-08-21,2023-09-28,99693.13,13223.14
420975,Re-contextualized multimedia interface,2023-11-04,2024-03-16,75002.68,24047.26
684999,Assimilated heuristic Local Area Network,2024-04-11,2024-04-12,32775.67,14995.17
913009,Upgradable bifurcated archive,2024-01-24,2024-05-25,70843.51,34635.61
236156,Optimized 3rdgeneration complexity,2024-05-31,2024-06-17,70234.64,18568.29
437510,Cloned 24hour benchmark,2024-05-08,2024-07-08,8966.59,6228.09
104328,Compatible stable attitude,2023-12-27,2024-08-07,38855.67,30196.55
757984,De-engineered neutral hardware,2022-08-26,2023-11-21,23765.0,3682.21
543024,Integrated demand-driven core,2024-04-23,2024-06-29,17778.8,4632.31
866954,Upgradable asymmetric knowledge user,2024-04-23,2024-08-01,52108.76,39232.83
244718,Vision-oriented neutral data-warehouse,2023-01-24,2024-01-26,34499.64,20711.3
957839,Distributed incremental concept,2023-10-22,2024-02-21,33336.07,32969.57
857387,Enhanced empowering protocol,2024-06-13,2024-07-08,46974.45,3608.47
599249,Diverse global benchmark,2023-06-17,2023-12-26,7087.33,5756.84
904316,Synchronized high-level help-desk,2023-12-04,2024-05-12,96406.49,43575.58
549636,Front-line reciprocal migration,2024-06-08,2024-07-13,29153.95,1693.08
445636,Horizontal 5thgeneration migration,2022-09-21,2023-11-23,18722.32,15476.05
712233,Sharable modular hierarchy,2022-08-22,2023-09-28,10604.77,8485.7
148525,Seamless tangible moratorium,2022-11-21,2023-12-23,79158.7,2861.48
225400,Automated interactive protocol,2022-09-20,2024-02-24,82563.83,42154.14
487996,Phased user-facing database,2023-08-08,2024-05-20,55519.16,45503.17
447572,Managed client-driven emulation,2022-09-12,2022-12-28,65066.33,21061.04
724999,Customizable local framework,2024-01-23,2024-05-12,1819.07,1472.63
466456,Versatile fault-tolerant array,2024-02-22,2024-03-25,24974.86,10097.21
138117,Cross-platform static analyzer,2022-12-19,2023-05-08,80482.71,39844.72
427358,Open-source asynchronous superstructure,2024-01-10,2024-03-19,20513.18,6019.9
627194,Vision-oriented attitude-oriented artificial intelligence,2023-11-04,2024-04-06,73540.43,10812.46
799920,Front-line methodical circuit,2024-08-12,2024-08-12,64924.02,27335.82
616337,Right-sized uniform neural-net,2022-09-24,2022-11-30,43757.74,18756.99
942597,Digitized neutral array,2023-04-01,2023-06-21,46796.14,5906.4
699159,Face-to-face user-facing open architecture,2024-02-21,2024-06-15,14087.74,5903.66
705196,Synchronized bi-directional forecast,2023-12-29,2024-04-30,91747.97,34488.47
135317,Reverse-engineered eco-centric info-mediaries,2022-09-26,2023-07-10,34245.35,2271.37
427140,Upgradable foreground solution,2024-05-01,2024-06-04,36934.61,36209.44
586452,Adaptive uniform protocol,2023-03-14,2023-03-29,39574.74,38148.92
385254,Operative 24hour throughput,2024-08-06,2024-08-08,68959.99,33743.48
528265,Front-line secondary protocol,2022-12-29,2024-05-25,82931.38,26674.43
956000,Vision-oriented zero-defect hierarchy,2023-04-24,2024-02-23,4757.51,2112.52
697042,Customer-focused multi-tasking portal,2022-12-08,2023-04-02,16452.98,1852.01
771207,Upgradable real-time initiative,2024-02-07,2024-02-18,11540.15,7365.84
387808,Operative coherent pricing structure,2024-05-07,2024-07-06,28588.68,9167.94
260449,Synchronized homogeneous initiative,2024-04-14,2024-05-28,3057.18,2074.02
457907,Configurable motivating synergy,2024-03-20,2024-03-24,3669.73,1096.13
432849,Ameliorated optimal encoding,2022-12-24,2024-06-20,66057.14,6111.62
917372,Inverse bandwidth-monitored throughput,2024-07-04,2024-08-04,33258.5,11598.63
849279,Grass-roots 4thgeneration methodology,2022-09-04,2023-11-22,82014.88,21334.39
830713,Persevering explicit array,2024-06-09,2024-07-03,36525.52,27727.83
363144,Multi-channeled encompassing analyzer,2023-03-22,2023-03-28,65258.64,11106.93
762274,Business-focused neutral knowledgebase,2024-05-31,2024-07-27,56548.57,37843.65
645040,Phased discrete capacity,2023-06-26,2024-02-02,37048.29,35012.8
195811,Synergized radical ability,2023-08-15,2023-09-15,56317.61,14959.82
194563,Compatible fault-tolerant matrix,2024-03-06,2024-08-02,52044.14,29357.14
717285,Operative non-volatile database,2024-07-20,2024-07-31,39149.45,36257.82
857918,Extended transitional framework,2023-07-24,2023-10-10,69622.17,15898.17
521817,Function-based clear-thinking encoding,2023-08-04,2024-07-16,98525.68,91610.61
123545,Fundamental maximized throughput,2024-07-20,2024-08-11,97171.66,88028.8
241655,Organic stable toolset,2023-08-11,2023-10-04,44838.96,18996.47
428070,Organized empowering collaboration,2023-07-17,2023-12-30,9146.8,4022.64
155368,Adaptive even-keeled initiative,2024-05-09,2024-08-07,42676.82,12940.47
345185,Adaptive grid-enabled application,2023-10-24,2023-11-04,57181.9,45638.4
471930,Phased dedicated function,2024-02-25,2024-05-05,34625.15,14540.84
737325,Triple-buffered heuristic info-mediaries,2023-05-11,2023-07-06,17235.54,4466.68
240406,Adaptive fresh-thinking data-warehouse,2024-01-06,2024-07-06,5378.31,4162.92
422212,Optimized encompassing function,2022-09-11,2024-06-19,67224.97,15795.76
508698,Synergized composite service-desk,2024-02-29,2024-03-23,11081.17,6115.68
306873,Re-contextualized reciprocal focus group,2022-11-14,2024-03-02,52833.8,19366.4
549761,Re-engineered scalable parallelism,2024-04-22,2024-08-01,97571.06,23782.59
416324,Multi-layered bottom-line standardization,2023-09-29,2024-01-21,76030.8,47527.13
456685,Grass-roots impactful hub,2023-09-14,2023-10-27,74489.45,52891.24
532986,Stand-alone clear-thinking product,2022-12-04,2023-12-08,64733.74,21946.33
246387,Reverse-engineered bottom-line encryption,2022-08-20,2023-02-25,97336.16,78542.91
661338,Customizable object-oriented archive,2022-09-23,2023-06-13,73027.45,50674.28
740006,Implemented coherent circuit,2023-04-23,2023-08-01,31731.62,15885.9
985410,Distributed motivating archive,2023-09-23,2023-10-28,52932.69,26380.82
959749,Customer-focused bandwidth-monitored hierarchy,2023-01-14,2023-10-21,90302.05,87511.17
979265,Inverse asynchronous moderator,2024-01-10,2024-05-13,14538.28,9023.44
650814,Self-enabling 24hour parallelism,2023-07-07,2024-07-17,46727.11,30984.83
311942,Synchronized didactic algorithm,2022-09-11,2024-07-18,16109.49,3174.91
694935,Inverse multimedia solution,2023-05-01,2024-01-22,71384.87,14784.71
643507,Diverse local frame,2024-07-04,2024-07-29,57302.48,12296.44
155414,De-engineered regional budgetary management,2023-08-03,2023-12-21,40987.61,19717.91
873732,Optional interactive adapter,2022-12-04,2024-01-27,99538.75,87524.88
902880,Front-line full-range database,2023-01-12,2024-03-20,26680.14,25616.12
824166,Operative incremental product,2024-03-21,2024-05-22,17257.41,3729.32
352178,Operative grid-enabled installation,2023-07-24,2023-10-18,97265.41,7830.71
215397,Up-sized static framework,2024-04-09,2024-05-12,88327.15,36860.16
741078,Face-to-face even-keeled challenge,2023-05-04,2024-01-31,4458.67,3361.28
834271,Ameliorated regional Graphic Interface,2024-06-05,2024-06-25,26431.96,6960.77
731754,Ameliorated zero administration concept,2024-04-10,2024-05-05,76301.02,42580.0
524963,Fundamental explicit task-force,2022-11-20,2023-08-24,27263.34,12446.44
849206,Persevering 5thgeneration system engine,2023-02-15,2024-07-23,34531.11,12553.19
668112,Optimized incremental architecture,2023-07-13,2024-07-13,48616.85,14821.73
159312,Mandatory actuating hub,2022-10-28,2023-01-01,23453.97,6045.47
280484,Fully-configurable optimal open architecture,2023-11-18,2024-01-27,85612.03,34110.91
717481,Open-source holistic moratorium,2023-12-20,2024-05-08,5209.25,4627.22
303003,Persistent local frame,2024-05-21,2024-05-27,35722.21,22473.66
121417,Team-oriented upward-trending orchestration,2023-04-08,2024-06-17,36446.84,33473.84
131271,Re-engineered incremental adapter,2023-09-04,2024-03-15,28284.6,14093.81
390467,Progressive asynchronous extranet,2023-07-13,2024-04-28,57978.35,1676.01
722749,Implemented cohesive hardware,2023-05-02,2024-01-24,36716.65,26408.09
624477,Optimized actuating contingency,2024-05-09,2024-06-15,44976.71,43334.6
514333,Operative context-sensitive methodology,2023-09-18,2024-07-12,8764.33,3588.44
323134,Centralized empowering complexity,2022-09-06,2023-07-26,77259.03,70915.13
930133,User-centric radical process improvement,2023-08-25,2024-03-31,18201.93,12526.01
293246,Reverse-engineered exuding instruction set,2024-06-20,2024-07-02,60431.91,1874.57
210118,Quality-focused client-driven adapter,2023-03-27,2024-03-04,88105.96,81615.24
280163,Versatile tangible website,2023-09-22,2023-10-22,63030.28,36431.04
162960,Right-sized dedicated website,2023-02-12,2024-02-02,94697.83,7414.14
881642,Right-sized national function,2023-03-09,2024-03-20,12439.06,9290.11
918143,Realigned exuding policy,2023-04-14,2023-11-09,11295.43,9237.81
954324,Polarized impactful algorithm,2024-03-30,2024-06-17,77249.78,11547.93
412939,Seamless contextually-based toolset,2023-03-14,2023-12-12,47959.09,7908.19
985491,Profound radical system engine,2024-01-04,2024-06-27,87169.38,67550.12
837061,Mandatory client-driven moratorium,2023-07-13,2023-09-07,92201.12,74082.71
424753,Organic static ability,2023-12-11,2024-04-29,8622.57,6882.69
394158,Stand-alone systemic workforce,2023-12-18,2024-05-03,71749.63,56653.41
737287,Customer-focused discrete task-force,2024-01-09,2024-07-29,78355.61,37167.76
275525,Monitored executive conglomeration,2023-03-29,2024-02-13,73190.15,46212.89
380161,Switchable executive attitude,2023-05-25,2023-12-30,48740.6,48561.23
279472,Compatible systemic array,2024-02-24,2024-07-22,36035.51,29918.59
890425,Object-based logistical concept,2022-11-19,2024-07-12,21275.63,11443.7
984006,Customer-focused composite project,2023-07-12,2024-05-31,10055.85,2031.21
503703,Managed logistical application,2022-09-30,2024-03-08,84215.8,63198.57
168704,Object-based interactive customer loyalty,2023-01-23,2023-09-18,71586.22,71551.2
878100,Synergistic empowering help-desk,2023-09-14,2024-05-23,35064.51,32482.87
932841,Vision-oriented tangible parallelism,2024-03-08,2024-03-23,58911.05,54646.24
420601,Cross-group 5thgeneration framework,2022-10-29,2024-02-11,70469.59,50940.43
514882,Integrated eco-centric emulation,2022-09-15,2023-10-05,94200.4,49166.15
233303,Stand-alone demand-driven installation,2024-01-07,2024-07-21,34306.96,34243.22
817479,Enhanced fault-tolerant architecture,2024-02-23,2024-06-12,13248.58,1867.27
839373,Assimilated systemic matrices,2023-10-21,2024-05-06,4531.66,3142.82
106128,Organic client-server framework,2023-03-27,2023-10-11,40347.88,20447.48
343499,Upgradable eco-centric challenge,2023-03-28,2023-11-28,98737.3,11906.35
424788,Managed didactic forecast,2024-06-22,2024-08-10,7065.66,6924.41
749759,Fundamental radical flexibility,2022-12-13,2024-07-18,3668.65,3145.23
460962,Phased systematic collaboration,2023-03-10,2024-02-29,99900.18,33701.13
126176,Persevering tangible portal,2023-06-21,2023-11-10,65921.65,31468.3
464089,Configurable uniform flexibility,2023-05-11,2023-11-13,69680.85,31144.42
402676,Diverse 24hour encoding,2022-09-08,2023-09-18,70537.07,17557.21
277576,Balanced bottom-line process improvement,2023-03-28,2024-01-21,82733.55,71122.4
367202,Robust clear-thinking groupware,2022-12-10,2024-02-16,56164.68,38795.45
551691,Sharable responsive frame,2022-08-22,2022-11-09,60193.22,45698.41
463648,Focused 4thgeneration conglomeration,2024-01-29,2024-04-24,48221.51,47139.78
506996,Mandatory context-sensitive toolset,2024-01-27,2024-03-14,10703.95,7164.09
239630,Organic next generation contingency,2023-01-19,2024-08-11,77189.83,60201.77
312516,De-engineered regional approach,2024-05-14,2024-06-22,34220.09,6099.66
828538,Down-sized value-added superstructure,2024-04-17,2024-04-23,87225.95,19877.7
286081,Front-line optimizing utilization,2024-06-09,2024-08-09,98489.91,56866.71
525188,Inverse well-modulated neural-net,2023-12-26,2023-12-31,51735.08,14532.64
542547,Face-to-face empowering capability,2022-12-15,2024-02-11,42772.98,34904.85
644580,Automated 24/7 hierarchy,2022-09-03,2023-01-10,20385.58,1694.81
219760,Operative regional moderator,2024-07-05,2024-07-30,64935.78,24703.14
571973,Object-based hybrid collaboration,2023-04-03,2023-08-24,7560.62,4415.1
591999,Universal real-time matrix,2022-10-16,2024-08-08,31424.28,6188.23
760352,Proactive directional methodology,2023-11-17,2024-07-22,79104.1,48488.32
700325,Innovative bandwidth-monitored Local Area Network,2023-11-28,2024-03-15,58125.87,26926.22
595001,Configurable demand-driven monitoring,2023-11-14,2024-03-07,6172.27,2206.98
415759,Managed contextually-based algorithm,2022-12-25,2023-11-01,72713.93,54702.93
793958,Virtual actuating definition,2023-01-20,2024-01-11,84501.12,31493.55
730234,Versatile clear-thinking artificial intelligence,2024-06-12,2024-07-22,34528.38,11421.31
493778,Enhanced incremental model,2023-05-17,2024-02-23,52236.33,29207.51
101406,Grass-roots web-enabled software,2022-10-01,2023-12-27,18005.88,8522.86
426526,Face-to-face interactive encoding,2022-12-07,2022-12-13,2626.29,1484.66
624549,Front-line non-volatile access,2024-07-10,2024-08-03,31648.45,25745.98
290828,Phased 5thgeneration database,2024-02-09,2024-06-15,43714.1,21811.31
290799,Versatile zero tolerance encoding,2023-03-25,2023-05-08,27780.66,22283.19
520278,Vision-oriented contextually-based task-force,2024-08-06,2024-08-09,23757.02,14635.38
158111,Multi-layered dynamic utilization,2023-08-24,2024-05-19,13589.03,12204.8
352365,Robust systematic encoding,2022-11-20,2023-12-26,50104.28,3804.6
576595,Phased impactful data-warehouse,2023-05-10,2024-01-28,41091.53,22742.97
672359,Reduced uniform encoding,2022-09-26,2024-04-02,25665.73,14587.28
750721,Object-based global protocol,2022-09-07,2023-12-05,53122.83,8333.02
726148,Versatile intermediate parallelism,2024-05-07,2024-08-06,46493.09,36340.88
935849,Devolved reciprocal Internet solution,2022-11-07,2023-11-04,34911.48,16348.52
513056,Stand-alone optimizing installation,2024-02-16,2024-08-12,90644.53,12314.99
327709,Universal asymmetric groupware,2023-02-22,2023-04-19,23146.1,14894.03
494761,Team-oriented well-modulated interface,2024-03-04,2024-05-30,39017.57,38633.83
549210,Compatible multi-tasking infrastructure,2022-12-12,2024-06-22,62739.46,23484.25
137416,Multi-tiered intermediate application,2023-01-17,2024-02-03,31869.47,12955.02
850387,Open-source logistical pricing structure,2023-04-10,2024-07-23,16644.85,2114.46
139762,Optimized modular capability,2023-04-14,2023-12-03,5882.4,3653.89
358349,Reverse-engineered transitional project,2022-11-26,2023-07-21,62980.38,21564.26
134764,Business-focused human-resource moratorium,2023-10-16,2024-05-11,90104.47,46987.54
738149,Sharable object-oriented software,2022-10-29,2023-08-26,70376.83,32169.63
357605,Persevering stable array,2023-09-19,2023-10-24,32890.67,29734.35
496726,Persevering even-keeled benchmark,2023-03-01,2024-06-23,9695.92,1314.46
915283,Centralized demand-driven orchestration,2023-08-11,2024-05-24,94785.31,41690.39
327468,Universal contextually-based moratorium,2024-02-01,2024-06-09,9485.53,3794.66
959805,Assimilated zero administration matrix,2023-12-13,2024-07-23,60190.78,15192.77
306153,Extended 24/7 ability,2023-05-01,2024-08-06,87157.58,74154.78
100127,Stand-alone logistical Local Area Network,2023-01-14,2024-06-06,21684.92,7262.85
850145,Customer-focused bifurcated solution,2023-04-16,2023-08-14,20617.4,2540.0
371855,Persistent system-worthy solution,2023-09-30,2024-02-11,78328.52,52086.73
541646,Open-architected 24/7 installation,2022-11-12,2023-10-30,5317.04,1747.34
538933,Business-focused homogeneous Internet solution,2023-11-26,2024-07-26,62587.06,6298.57
643225,Pre-emptive 6thgeneration utilization,2022-12-03,2023-03-06,22664.56,6144.86
936007,Adaptive 24hour capability,2024-06-26,2024-08-02,20372.53,8208.52
514140,Cross-platform directional Internet solution,2024-06-21,2024-08-04,75456.47,8507.05
541147,Configurable tertiary framework,2024-05-19,2024-05-24,90680.38,34938.6
164987,Upgradable client-server conglomeration,2024-03-01,2024-05-03,24331.01,22072.41
284172,Right-sized heuristic attitude,2023-12-16,2023-12-19,40730.82,35722.21
179926,Synchronized reciprocal pricing structure,2023-08-07,2024-06-29,96592.55,75748.32
203667,Focused logistical system engine,2023-05-22,2024-01-25,38196.76,13647.99
456491,Multi-lateral multi-tasking ability,2023-09-09,2024-02-15,47108.96,42761.29
222381,Advanced systemic hierarchy,2022-09-22,2024-05-25,49761.08,9239.7
574632,Cross-platform static application,2024-01-20,2024-05-04,42964.51,40302.54
160470,Monitored heuristic Graphic Interface,2022-10-17,2024-01-27,64183.52,9248.39
911769,Self-enabling background superstructure,2023-08-14,2024-03-31,87211.57,60855.5
203006,De-engineered actuating success,2024-02-11,2024-05-13,36908.89,26101.45
669130,User-centric analyzing pricing structure,2023-03-03,2023-10-18,11484.63,10485.68
654470,User-centric coherent Graphical User Interface,2024-06-29,2024-07-03,44223.3,15213.06
705044,Pre-emptive value-added utilization,2023-04-24,2024-01-17,75799.76,7267.67
312068,Team-oriented incremental superstructure,2023-01-23,2023-12-28,51179.12,47317.68
275640,Centralized 3rdgeneration matrix,2023-03-06,2024-05-08,38203.52,31137.09
206291,Customer-focused clear-thinking artificial intelligence,2023-07-22,2024-03-01,60744.07,54674.0
369362,Up-sized system-worthy adapter,2022-12-05,2023-07-07,40930.49,29306.49
910876,Operative non-volatile function,2024-04-07,2024-07-04,87994.41,24419.73
210796,Total coherent artificial intelligence,2022-12-18,2023-10-24,62997.3,6921.18
455632,Automated local function,2023-12-15,2024-04-04,25598.51,20750.55
161229,Advanced heuristic monitoring,2023-11-28,2023-12-18,73183.81,5617.75
643668,Cloned empowering info-mediaries,2024-07-17,2024-08-05,68547.8,66102.75
286962,Adaptive contextually-based synergy,2022-08-14,2023-11-29,92846.77,65579.34
429573,Synergized incremental initiative,2024-02-13,2024-06-02,68911.25,25056.95
665696,Advanced exuding complexity,2023-12-06,2024-07-31,2184.72,1336.35
739294,Compatible static synergy,2024-07-20,2024-08-02,64046.43,3866.56
551563,Visionary next generation customer loyalty,2022-09-25,2023-01-17,28355.72,18914.38
464487,Total mission-critical analyzer,2022-11-24,2023-12-17,26441.47,3263.4
720110,Customizable mission-critical alliance,2022-09-29,2024-07-29,7274.02,2312.5
391720,Customizable system-worthy knowledge user,2023-11-06,2023-12-13,75750.39,42194.35
