InventoryID,WarehouseID,ProductID,QuantityOnHand,LastRestocked
230657,2,220452,311,2024-04-17
309270,5,264801,362,2024-07-16
113758,5,567648,403,2023-12-05
709756,4,957499,482,2023-08-31
563291,3,533781,353,2024-04-29
829743,2,161830,80,2022-09-20
746555,4,505046,461,2024-03-21
224176,2,478926,405,2022-09-12
857993,1,165631,290,2023-01-30
741194,2,361440,328,2023-07-03
858602,5,408679,312,2024-07-14
539047,4,307755,152,2023-11-02
762264,2,518193,411,2023-10-11
566226,5,349357,167,2022-12-18
369770,1,570630,496,2024-05-06
290374,3,367085,345,2024-02-25
231110,3,748155,313,2023-12-03
145407,2,295606,215,2023-07-15
421783,5,711007,366,2024-05-27
807639,5,267167,21,2023-12-22
283739,4,386990,235,2022-11-26
704470,3,124299,444,2022-12-31
730652,5,887630,225,2023-11-20
872035,2,349840,464,2023-03-18
757028,4,585926,293,2024-01-29
632848,1,516991,316,2023-12-19
155511,2,323976,403,2024-05-09
828759,1,270770,405,2024-03-14
953833,4,580891,372,2022-10-07
437771,5,815439,408,2024-02-03
249995,2,359255,428,2024-06-14
701634,1,499318,161,2024-07-27
409980,4,626219,424,2023-07-23
176863,5,475036,87,2022-08-27
558778,3,936646,123,2024-02-19
177509,5,801083,25,2023-07-22
121199,5,166361,267,2023-03-18
450659,5,763008,166,2023-05-06
808609,2,129581,322,2022-10-12
134552,2,569882,36,2023-07-10
717307,3,336298,218,2023-06-13
581448,5,844300,181,2023-04-29
901813,5,750763,18,2022-11-17
109905,1,586187,358,2024-03-23
895802,1,562974,11,2024-04-25
653035,5,973243,215,2024-01-27
243002,3,367520,396,2022-09-16
495864,5,427239,480,2022-12-04
766653,2,328449,196,2023-01-22
302979,1,625905,225,2022-10-06
831401,3,903803,426,2022-12-16
108006,5,283939,443,2024-06-07
183725,1,253765,365,2023-12-21
432817,3,258449,172,2023-09-01
453348,1,179802,282,2023-04-09
320887,3,832721,276,2023-04-06
530510,2,394649,148,2023-09-23
158423,4,576448,75,2023-02-19
302946,2,627530,27,2023-04-14
443390,1,932814,32,2023-04-08
832897,4,892166,29,2023-06-21
335796,1,198766,167,2024-06-29
199041,3,287600,456,2023-04-23
881179,5,232105,257,2023-05-15
427928,1,477195,118,2024-07-17
706050,4,476741,110,2022-09-21
669455,3,673383,181,2023-03-02
586741,4,168220,421,2023-04-04
206181,1,478592,222,2024-04-26
412381,4,660448,289,2024-03-15
644226,2,179295,215,2023-09-26
837441,3,111552,148,2023-02-11
274355,4,167593,170,2023-10-28
776002,4,362584,56,2023-02-23
422694,4,518532,6,2023-09-17
735016,1,797567,356,2023-10-11
726022,5,533591,429,2024-02-18
238816,1,672567,429,2023-09-20
538402,5,546279,369,2023-07-15
320688,2,984110,349,2022-10-13
204795,4,791922,364,2023-08-07
213179,3,724477,2,2022-11-16
875632,3,357610,372,2023-09-05
783109,2,875531,310,2023-08-17
496155,3,153228,205,2024-04-12
572657,4,508471,131,2023-12-21
779825,5,346844,185,2023-03-30
540773,4,395815,65,2024-03-06
187777,3,809747,237,2024-01-08
324004,1,309511,101,2024-03-28
903442,2,958909,382,2023-01-15
937913,2,536970,248,2022-11-19
247170,4,342259,483,2024-01-06
709797,4,638056,228,2022-10-03
403844,5,256933,11,2023-10-04
411245,3,479512,294,2023-10-21
404393,2,604771,187,2022-09-25
499074,5,315737,282,2022-11-20
612121,5,705013,320,2023-08-06
855319,4,271843,10,2024-05-15
944343,4,136000,294,2024-04-04
596601,4,339040,475,2024-03-16
502408,4,367501,231,2022-12-29
529184,1,485674,407,2023-12-20
757989,5,387563,410,2024-07-29
480278,2,885345,131,2023-01-16
191460,4,400392,376,2024-05-02
253747,3,614914,416,2023-12-27
485126,2,298295,390,2023-12-08
945599,3,815155,202,2023-08-09
968880,4,891309,113,2023-05-10
940452,5,637337,102,2023-10-10
215762,4,971688,480,2023-04-15
332509,1,157839,438,2023-06-02
248463,2,320289,368,2023-04-15
445741,5,704131,238,2023-09-27
331428,5,931191,90,2022-08-18
232333,2,908230,202,2023-03-12
761327,2,523135,371,2024-05-01
910143,4,134154,98,2023-10-12
518007,5,916247,318,2024-07-31
734146,3,646912,418,2022-12-18
689557,5,410355,88,2023-06-29
714604,3,214678,262,2024-05-22
142987,4,653985,370,2024-03-27
303232,1,754579,207,2022-10-20
821779,4,622081,406,2023-12-28
495471,3,423465,305,2024-01-17
747536,5,983644,330,2023-05-05
779316,2,102744,304,2023-03-18
733214,5,814313,76,2024-07-01
243787,5,941424,320,2023-07-02
119811,1,344340,347,2022-10-07
597717,2,159353,198,2023-02-08
835111,3,605901,260,2023-04-15
878620,5,159028,499,2022-09-27
377458,5,360581,347,2023-09-10
291250,5,420653,180,2023-10-12
869687,5,588029,164,2023-04-06
615828,1,236749,80,2022-11-09
999037,2,965585,349,2023-07-17
516234,3,912304,242,2023-04-17
837101,1,850559,83,2022-09-17
919989,4,237867,23,2024-04-11
589225,3,572554,308,2022-08-16
247132,3,325133,414,2023-06-03
551114,4,734599,464,2023-02-06
509178,5,915443,142,2023-08-06
400480,1,874212,42,2022-09-05
405945,4,400089,1,2022-12-28
807475,5,572238,346,2024-01-13
543496,2,548378,156,2023-09-23
620839,4,674212,430,2022-12-13
666307,2,631633,393,2024-07-19
324552,4,915947,126,2023-01-02
558603,4,439960,278,2022-12-05
575840,3,204663,429,2023-01-17
795603,5,284957,372,2023-07-11
651374,4,152489,43,2022-11-12
824186,1,833934,197,2023-03-11
357061,2,236708,290,2023-09-21
136252,4,688714,176,2024-03-24
930527,2,409162,58,2023-10-16
163340,5,274685,353,2024-02-16
910895,3,391945,346,2023-07-27
911177,2,124123,186,2023-01-21
429616,2,498858,22,2024-01-28
625459,1,261242,497,2022-11-14
872217,5,995438,271,2023-07-25
849642,1,446745,371,2024-04-09
904597,5,634209,116,2024-03-10
325384,5,107236,74,2022-12-13
893803,2,360328,396,2023-11-18
295621,2,288879,431,2024-05-10
567014,1,713527,261,2022-12-08
488883,4,787359,36,2024-03-06
422950,4,296614,379,2023-07-26
639978,2,911355,395,2023-08-09
440192,5,572265,287,2023-02-14
385098,5,628527,199,2022-09-17
266338,3,865078,177,2023-12-30
784267,4,211519,126,2023-04-19
107118,4,304733,331,2024-03-05
301887,4,517903,147,2023-04-17
333241,3,279928,353,2024-07-08
767938,3,396819,493,2023-03-13
379705,4,589009,372,2022-11-03
989491,5,543470,96,2024-05-30
915825,1,181319,169,2024-03-17
889135,3,214327,299,2023-01-28
499489,3,119032,55,2022-09-30
102097,3,733484,364,2023-04-30
254252,2,846630,306,2023-06-28
627700,3,604042,480,2022-09-10
191241,1,713068,278,2023-08-31
358910,1,886764,85,2024-02-02
324153,4,284291,133,2024-08-02
725767,5,506085,177,2023-02-10
801935,5,663356,483,2023-05-27
741098,5,615425,436,2024-03-16
289496,2,230608,96,2024-05-09
165480,4,889591,203,2023-05-06
977576,1,935714,303,2023-11-27
380930,1,901547,169,2023-10-09
304995,4,122455,365,2023-06-25
634653,2,364271,355,2023-08-18
576628,5,559885,128,2024-06-15
206592,1,558036,73,2023-05-20
862365,2,540981,375,2023-09-16
835000,4,308430,207,2023-03-29
298492,2,595325,187,2023-03-04
698591,2,478519,164,2023-08-03
884096,1,940101,297,2024-07-20
440247,2,510354,301,2024-01-20
189962,2,609988,355,2023-12-31
370689,1,338779,8,2023-12-19
350420,1,908924,449,2023-04-17
768645,2,164951,353,2024-01-29
991888,5,629806,332,2024-04-08
691028,1,199014,98,2024-05-20
983419,4,264126,252,2023-01-01
449878,4,609880,272,2024-05-28
796983,1,660588,367,2023-01-09
972940,1,305093,234,2023-05-06
171031,4,511242,214,2024-06-08
336280,3,675575,435,2023-08-31
614068,3,850177,91,2022-12-08
984337,5,687328,121,2023-01-14
939690,1,891095,328,2023-01-14
353999,1,423033,350,2023-12-04
627572,3,991474,51,2022-08-30
875661,2,371158,179,2023-09-26
307764,3,332580,376,2022-10-14
130147,2,853522,149,2022-11-10
322566,2,216366,123,2024-01-25
430734,3,475800,225,2023-03-06
176127,1,590800,448,2024-03-21
786302,1,880647,90,2024-02-04
989004,1,357837,203,2024-08-06
879472,5,986564,61,2024-05-07
213046,3,800742,446,2024-04-16
387785,2,687257,438,2024-03-12
613465,2,370905,9,2022-11-20
418946,2,586433,66,2022-10-27
432233,4,648331,298,2023-11-13
622527,4,871822,481,2024-03-04
468741,4,430378,143,2023-04-25
892086,5,575641,387,2024-07-17
278505,3,109555,327,2023-12-21
850559,3,355491,286,2022-12-29
884510,5,517835,275,2023-06-03
833948,5,935982,297,2024-07-04
354673,5,729364,227,2024-03-28
411441,1,470004,316,2023-03-25
245181,5,516379,391,2024-04-17
870985,3,459943,254,2023-07-25
560168,1,568990,281,2023-07-24
361610,2,311184,135,2024-03-28
591269,1,886098,149,2024-02-29
819131,2,248211,336,2023-07-08
107476,2,728461,24,2022-09-20
614376,5,996710,94,2024-05-29
880535,5,193399,350,2024-04-05
652039,4,244995,193,2024-04-02
376852,3,563967,492,2024-05-27
224935,1,848257,449,2023-03-13
581579,1,838821,49,2023-09-08
329837,5,774863,159,2024-07-05
781593,5,101647,194,2023-02-15
143083,4,856855,354,2024-01-30
654147,1,553367,366,2023-08-14
423004,5,719202,419,2023-10-20
965680,5,592818,233,2022-08-23
640068,4,569912,434,2023-02-01
459567,4,114018,338,2024-05-27
289667,2,921098,123,2024-03-02
830225,1,906605,372,2024-06-04
892612,2,867260,385,2023-12-28
636559,4,429198,365,2023-09-19
328313,2,143624,108,2023-02-26
937936,3,970669,410,2022-10-04
324685,4,604722,413,2023-03-20
834068,3,367919,420,2023-05-25
115735,5,559729,202,2024-05-01
860716,3,724361,156,2024-07-16
856903,5,470696,159,2023-09-09
948558,5,816801,496,2023-07-02
270910,3,593235,490,2024-06-30
158071,2,867604,178,2024-08-06
671205,3,163120,25,2024-05-13
